statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
640,365,5,11,1877,1,31,1878,1877,3,1,3,1,3.0,165000.0,120000.0,1,265,45000.0,285000.0
640,365,5,11,1877,1,31,1878,1878,3,1,3,1,3.0,165000.0,120000.0,2,265,45000.0,285000.0
135,155,5,21,1879,6,10,1883,1879,4,1,1,3,3.0,9672.0,3276.0,5,1481,6396.0,12948.0
135,155,5,21,1879,6,10,1883,1880,4,1,1,3,3.0,9672.0,3276.0,2,1481,6396.0,12948.0
135,155,5,21,1879,6,10,1883,1881,4,1,1,3,3.0,9672.0,3276.0,4,1481,6396.0,12948.0
135,155,5,21,1879,6,10,1883,1882,4,1,1,3,3.0,9672.0,3276.0,3,1481,6396.0,12948.0
135,155,5,21,1879,6,10,1883,1883,4,1,1,3,3.0,9672.0,3276.0,1,1481,6396.0,12948.0
155,135,5,21,1879,6,10,1883,1879,1,4,3,1,1.0,3276.0,9672.0,4,1481,-6396.0,12948.0
155,135,5,21,1879,6,10,1883,1880,1,4,3,1,1.0,3276.0,9672.0,1,1481,-6396.0,12948.0
155,135,5,21,1879,6,10,1883,1881,1,4,3,1,1.0,3276.0,9672.0,2,1481,-6396.0,12948.0
155,135,5,21,1879,6,10,1883,1882,1,4,3,1,1.0,3276.0,9672.0,3,1481,-6396.0,12948.0
155,135,5,21,1879,6,10,1883,1883,1,4,3,1,1.0,3276.0,9672.0,5,1481,-6396.0,12948.0
145,155,2,14,1879,5,26,1880,1879,3,1,3,1,3.0,920.0,3276.0,1,467,-2356.0,4196.0
145,155,2,14,1879,5,26,1880,1880,3,1,3,1,3.0,920.0,3276.0,2,467,-2356.0,4196.0
155,145,2,14,1879,5,26,1880,1879,1,3,1,3,1.0,3276.0,920.0,1,467,2356.0,4196.0
155,145,2,14,1879,5,26,1880,1880,1,3,1,3,1.0,3276.0,920.0,2,467,2356.0,4196.0
200,651,7,11,1882,9,15,1882,1882,1,3,1,3,1.0,79.0,10000.0,1,66,-9921.0,10079.0
651,200,7,11,1882,9,15,1882,1882,3,1,3,1,3.0,10000.0,79.0,1,66,9921.0,10079.0
220,710,6,23,1884,3,24,1885,1884,1,3,1,3,1.0,2100.0,10000.0,2,274,-7900.0,12100.0
220,710,6,23,1884,3,24,1885,1885,1,3,1,3,1.0,2100.0,10000.0,1,274,-7900.0,12100.0
710,220,6,23,1884,3,24,1885,1884,3,1,3,1,3.0,10000.0,2100.0,1,274,7900.0,12100.0
710,220,6,23,1884,3,24,1885,1885,3,1,3,1,3.0,10000.0,2100.0,2,274,7900.0,12100.0
90,92,3,28,1885,4,15,1885,1885,1,3,1,3,3.0,800.0,200.0,1,18,600.0,1000.0
92,90,3,28,1885,4,15,1885,1885,3,1,3,1,1.0,200.0,800.0,1,18,-600.0,1000.0
710,740,7,25,1894,3,30,1895,1894,3,1,3,1,3.0,10000.0,5000.0,2,248,5000.0,15000.0
